School No,School Name,Status,Products 2025,Products 2026,Dropped Products
3394135,Greenwood High Bannerghatta,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
3395252,Vedaant Multipurpose School,Dropped,CARES,None,CARES
3395953,BLM Sr. Secondary School,Dropped,CARES,None,CARES
3399635,"KLE M. R. Sakhare CBSE School, Hubballi",Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
3400783,G Rio School,Dropped,CARES,None,CARES
3401697,Thamarai International School,Dropped,Mindspark,None,Mindspark
3402446,"Mind Tree School, Kharar",Dropped,ASSET,None,ASSET
3407332,Shiv Nadar School (CBSE),Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
3409378,Shraddha Children^s Academy,Dropped,CARES,None,CARES
34097,"Sunbeam English School, Bhagwanpur",Dropped,Mindspark,None,Mindspark
3425691,St. Kabir School,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
343343,AMNS International School,Dropped,Mindspark,None,Mindspark
3438724,Swarnim International School,Dropped,CARES,None,CARES
343881,"Bhavan Vidyalaya, Panchkula",Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
3442227,Assam Heights Public School,Dropped,Mindspark,None,Mindspark
3443832,The Wisdom Tree School,Dropped,Mindspark,None,Mindspark
3451055,Mahatma Global Gateway,Dropped,"ASSET, CARES",None,"ASSET, CARES"
3455532,Empyrean School,Dropped,ASSET,None,ASSET
3459074,LPS Global School,Dropped,ASSET,None,ASSET
3460346,Silver Point School,Dropped,Mindspark,None,Mindspark
3464699,Billabong High International School (CBSE),Dropped,CARES,None,CARES
346484,Tashi Namgyal Academy,Dropped,CARES,None,CARES
3469794,Lotus Valley School,Dropped,"ASSET, CARES",None,"ASSET, CARES"
3472426,BVM International School,Dropped,ASSET,None,ASSET
3472699,Dikshant Global School,Dropped,ASSET,None,ASSET
3472778,"Mind Tree School, Ambala Cantt",Dropped,ASSET,None,ASSET
34736,Akshara Matriculation Higher Secondary School,Dropped,Mindspark,None,Mindspark
3475635,Wisdom High International School (SMC),Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
347614,Chanderbala Modi Academy,Dropped,"CARES, Mindspark",None,"CARES, Mindspark"
3478771,GEMS Public School - Patiala,Dropped,CARES,None,CARES
348782,Glendale Academy International,Dropped,ASSET,None,ASSET
3492029,Mahatma Gandhi School,Dropped,Mindspark,None,Mindspark
3495131,Silver Oaks High School,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
3495816,"Young Horizons School, Karaya Road",Dropped,CARES,None,CARES
3505875,"The Shri Ram School, Junior Aravali",Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
3507484,Global Concept School,Dropped,CARES,None,CARES
3513471,The Shri Ram Universal School,Dropped,"ASSET, CARES",None,"ASSET, CARES"
3513547,"The Global Edge School, Kokapet",Dropped,ASSET,None,ASSET
3514450,I D M Public School,Dropped,CARES,None,CARES
3515636,Rungta Public School,Dropped,CARES,None,CARES
351831,Yuvabharathi Public School,Dropped,ASSET,None,ASSET
3520543,"The HDFC School, Pune",Dropped,ASSET,None,ASSET
3534332,Akshar Arbol International School,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
353776,"Delhi Public School, Vasant Kunj",Dropped,ASSET,None,ASSET
354838,St. Xavier's Higher Secondary School,Dropped,CARES,None,CARES
3552349,Sudharsanam Vidyaashram,Dropped,CARES,None,CARES
3557796,Akshar Arbol International School,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
3565966,Griffins International School,Dropped,"ASSET, CARES",None,"ASSET, CARES"
3567542,Keystone International School,Dropped,ASSET,None,ASSET
356995,The Rajkumar College,Dropped,Mindspark,None,Mindspark
3582467,Rawdat Al-Quran Al-Kareem,Dropped,ASSET,None,ASSET
3583679,"Billabong High International School, Indore",Dropped,Mindspark,None,Mindspark
3588889,Global Indian International School Balewadi,Dropped,ASSET,None,ASSET
3589593,Lokmanya Tilak International School,Dropped,ASSET,None,ASSET
3591328,IEM Public School,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
359413,The Galaxy School - Wadi,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
3594140,Meru International School,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
3605584,"SAI International Residential School, Cuttack",Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
3626747,SGS International School,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
3634161,PICT Model School,Dropped,CARES,None,CARES
3638758,Jain Public School,Dropped,CARES,None,CARES
3639531,"Vega School, Sector 48, Gurugram",Dropped,ASSET,None,ASSET
364480,"The Shri Ram School, Senior Aravali",Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
365439,Anand Niketan Satellite,Dropped,ASSET,None,ASSET
366777,Rachana School (C.B.S.E.),Dropped,"ASSET, CARES",None,"ASSET, CARES"
3693693,GEAR Innovative International School Neuron,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
370,Arya Vidya Mandir Bandra West,Dropped,ASSET,None,ASSET
370457,Sri Kumaran Public School -ICSE,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
3705528,Canary The School,Dropped,"ASSET, CARES",None,"ASSET, CARES"
3707644,Poola School,Dropped,ASSET,None,ASSET
3712077,Bombay International School Association,Dropped,ASSET,None,ASSET
3745576,Gangotri International School,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
374785,Mallya Aditi International School,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
3752732,Sainik School,Dropped,CARES,None,CARES
3754524,"Mukesh R Patel CBSE School, Shirpur",Dropped,ASSET,None,ASSET
3757528,Delhi Public School - Gautam Buddh Nagar,Dropped,ASSET,None,ASSET
376207,V V S Gandhi Centenary English Primary School (Dhruvadhama Campus),Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
3765958,St Michaels School,Dropped,CARES,None,CARES
3769775,Pakshalika High,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
3777013,"Allegiance Academy, Kukshi",Dropped,CARES,None,CARES
3780526,Morning Bells Academy Shayamnagar,Dropped,"CARES, Mindspark",None,"CARES, Mindspark"
3784799,Santhanam Vidhyalaya,Dropped,ASSET,None,ASSET
3791464,"Amneev Vision School , Etawah",Dropped,CARES,None,CARES
3795896,Thangam World School,Dropped,Mindspark,None,Mindspark
3799725,"The Millennium School, Noida Extension",Dropped,"ASSET, CARES",None,"ASSET, CARES"
381519,Bhavan^s Gangabux Kanoria Vidyamandir,Dropped,Mindspark,None,Mindspark
3825980,"Modi School, CBSE",Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
3826566,Innovative International School,Dropped,ASSET,None,ASSET
3833865,Christel House India - Atal Nagar,Dropped,ASSET,None,ASSET
3837686,"KLE School, Lingaraj Campus, Belagavi",Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
3838227,The Green Acres Academy- Mulund,Dropped,ASSET,None,ASSET
384445,Campion School,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
3848229,"The Global Edge School, Vasanth Nagar",Dropped,ASSET,None,ASSET
3856532,Sri National School,Dropped,Mindspark,None,Mindspark
3857130,"La Montessori School, Ner Chowk",Dropped,CARES,None,CARES
3857260,"La Montessori School, Dunkhra",Dropped,CARES,None,CARES
3871414,Kunskapsskolan,Dropped,ASSET,None,ASSET
3875940,Paramount School,Dropped,CARES,None,CARES
3878188,"Mind Tree School, Naraingarh",Dropped,ASSET,None,ASSET
3883519,The Infinity School,Dropped,"ASSET, CARES",None,"ASSET, CARES"
3886024,KLE Society^s Basava Residential Girls School - Kengeri,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
3886389,Prakriti School - Sec-128,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
3889453,"Global Indian International School, Hadapsar",Dropped,ASSET,None,ASSET
3896752,Krishna English Medium School,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
3915751,Springfields international school,Dropped,ASSET,None,ASSET
391739,Pragyan School,Dropped,"CARES, Mindspark",None,"CARES, Mindspark"
393696,Little Flower Higher Secondary School,Dropped,CARES,None,CARES
3944825,The Westwood School,Dropped,ASSET,None,ASSET
395154,"Cambridge School, Indirapuram",Dropped,ASSET,None,ASSET
395483,DLF Public School,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
3955038,Millennium World School-Moradabad,Dropped,"CARES, Mindspark",None,"CARES, Mindspark"
3970895,Jindal world School,Dropped,Mindspark,None,Mindspark
398948,Dalmia Public School,Dropped,CARES,None,CARES
3989841,Aditya Birla Public School- Rayagada,Dropped,CARES,None,CARES
3990168,Apex Academy,Dropped,"ASSET, CARES",None,"ASSET, CARES"
3990957,Brookfield High School,Dropped,CARES,None,CARES
